Departamento,Código da Disciplina,Descrição da Disciplina,Nível de Ensino,Curso(s),Carga Horária,Teórica/Prática,Cód. Pré-Requisitos,Cód. Co-Requisitos,Data da Apuração
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1INF.018,APLICAÇÕES DA WEB,TÉCNICO INTEGRADO,"TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1INF.019,LABORATÓRIO DE APLICAÇÕES PARA WEB,TÉCNICO INTEGRADO,"TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1INF.024,LABORATÓRIO DE LINGUAGEM DE PROGRAMAÇÃO II,TÉCNICO INTEGRADO,"TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1LIN.002,LÍNGUA ESTRANGEIRA: INGLÊS - 1ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO EM TRÂNSITO , TÉCNICO EM INFORMÁTICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ESTRADAS , TÉCNICO EM MECÂNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MECÂNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ESTRADAS , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ESTRADAS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETRÔNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM QUÍMICA , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECÂNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM QUÍMICA , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECÂNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM MECÂNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM MECÂNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM ESTRADAS , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM QUÍMICA , TÉCNICO EM MECÂNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MECATRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM MECÂNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM QUÍMICA , TÉCNICO EM QUÍMICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETROTÉCNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1LIN.003,LÍNGUA ESTRANGEIRA: INGLÊS - 2ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM TRÂNSITO , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM MECÂNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM MECÂNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ESTRADAS , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ESTRADAS , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM ESTRADAS , TÉCNICO EM QUÍMICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECÂNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES - EJA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM QUÍMICA , TÉCNICO EM MECÂNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM TRÂNSITO , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MECATRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM MECÂNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM INFORMÁTICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM QUÍMICA , TÉCNICO EM QUÍMICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETROTÉCNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1LIN.03,LÍNGUA ESTRANGEIRA: INGLÊS - 3ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MECÂNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ESTRADAS , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ESTRADAS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM MECATRÔNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MECÂNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM QUÍMICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ESTRADAS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM MECATRÔNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM MECATRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM QUÍMICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ESTRADAS , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECÂNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM MECÂNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM MECÂNICA , TÉCNICO EM ESTRADAS , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECATRÔNICA , TÉCNICO EM QUÍMICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM INFORMÁTICA , TÉCNICO EM QUÍMICA , TÉCNICO EM INFORMÁTICA , TÉCNICO EM MECÂNICA , TÉCNICO EM QUÍMICA , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MECATRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM MECÂNICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ELETRÔNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM ESTRADAS , TÉCNICO EM HOSPEDAGEM , TÉCNICO EM MECATRÔNICA , TÉCNICO EM REDES DE COMPUTADORES , TÉCNICO EM INFORMÁTICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETRÔNICA , TÉCNICO EM TRÂNSITO , TÉCNICO EM QUÍMICA , TÉCNICO EM QUÍMICA , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM TRANSPORTES E TRÂNSITO , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM ELETROTÉCNICA , TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM ELETROTÉCNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.001,ECOLOGIA APLICADA,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.002,GEOGRAFIA E ANÁLISE AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.005,CONSERVAÇÃO DE SOLOS,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.43,HIGIENE E SEGURANÇA DO TRABALHO E ANÁLISE DE RISCO,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.44,INFORMÁTICA APLICADA,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.45,LABORATÓRIO DE MANEJO E CONSERVAÇÃO DE ECOSSISTEMAS,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.46,DESENHO ASSISTIDO POR COMPUTADOR,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.47,GEOPROCESSAMENTO APLICADO,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.48,LABORATÓRIO DE QUÍMICA AMBIENTAL I,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.49,MICROBIOLOGIA AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.50,POLÍTICA E AVALIAÇÃO DE IMPACTO AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.52,SANEAMENTO AMBIENTAL I - ÁGUA E ESGOTO,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.53,ECONOMIA AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.54,GESTÃO DAS ÁGUAS,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.55,LABORATÓRIO DE QUÍMICA AMBIENTAL II,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.56,QUÍMICA AMBIENTAL I,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.57,QUÍMICA AMBIENTAL II,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.58,LABORATÓRIO DE EDUCAÇÃO AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.59,LABORATÓRIO DE SANEAMENTO AMBIENTAL,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.60,PLANEJAMENTO AMBIENTAL E URBANO,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.61,POLUIÇÃO E CONTROLE AMBIENTAL NA INDÚSTRIA,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.62,SANEAMENTO AMBIENTAL II - RESÍDUOS,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",40,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - NS,1MAMB.63,SISTEMAS DE GESTÃO INTEGRADOS,TÉCNICO INTEGRADO,"TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE , TÉCNICO EM MEIO AMBIENTE",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
