Departamento,Código da Disciplina,Descrição da Disciplina,Nível de Ensino,Curso(s),Carga Horária,Teórica/Prática,Cód. Pré-Requisitos,Cód. Co-Requisitos,Data da Apuração
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.008,SISTEMAS DE GESTÃO,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.13,LABORATÓRIO DE CIRCUITOS ELÉTRICOS I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.14,CIRCUITOS ELÉTRICOS I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.15,LABORATÓRIO DE CIRCUITOS ELÉTRICOS II,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.16,CIRCUITOS ELÉTRICOS II,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.17,LABORATÓRIO DE ELETRÔNICA APLICADA I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.17153,LABORATÓRIO DE SISTEMAS DIGITAIS,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.17237,SISTEMAS DIGITAIS,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.18,ELETRÔNICA APLICADA I,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.19,ACIONAMENTOS ELETROELETRÔNICOS,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
