Identificador do Projeto,Nome do Projeto de Extensão,Área Temática do Projeto,Número de Participantes,Tipos de Parceiros Envolvidos,Bolsas pagas,Data da Apuração
PJ051-2022,"GRUPO DE ARTE E CULTURA ""MÍMESIS""",CULTURA,11,ONG,2,06/09/2022
PJ052-2022,SEMPRI 4.0 – SEMINÁRIOS EM EMPREENDEDORISMO E INOVAÇÃO PARA INDÚSTRIA 4.0,TECNOLOGIA E PRODUÇÃO,6,EMPRESA PRIVADA,2,06/09/2022
PJ053-2022,"ARTES DE CURAR, REZAR E BRINCAR: SABERES, TRADIÇÕES E SUAS RESISTÊNCIAS AO APAGAMENTO NOS AGLOMERADOS CABANA DO PAI TOMÁS E DA SERRA",CULTURA,25,ESCOLA,2,06/09/2022
PJ054-2022,A CIÊNCIA EM UMA ABORDAGEM INTERDISCIPLINAR,EDUCAÇÃO,3,N.A.,2,06/09/2022
PJ055-2022,OPEN FOOD BRASIL - PLATAFORMA AGROECOLÓGICA E PARTICIPATIVA,TECNOLOGIA E PRODUÇÃO,7,ONG,2,06/09/2022
PJ056-2022,PROJETO DE EXTENSÃO AZIMUTE NORTE: ESPORTE ORIENTAÇÃO NO CEFET MG - CAMPUS ARAXÁ,SAÚDE,4,N.A.,2,06/09/2022
PJ057-2022,"""ENTRE CARTAS..."" COM SUA COMUNIDADE: ONEYDA E MÁRIO",EDUCAÇÃO,9,ESCOLA,2,06/09/2022
PJ058-2022,"PODCAST ""SALVE CIÊNCIA"": LETRAMENTO CIENTÍFICO E COMUNIÇÃO PÚBLICA DA CIÊNCIA E DATECNOLOGIA",COMUNICAÇÃO,9,N.A.,2,06/09/2022
PJ059-2022,FRACTAL - EQUIPE DE TREINAMENTO DE COMPETIÇÕES OLÍMPICAS DE MATEMÁTICA,EDUCAÇÃO,35,ESCOLA,1,06/09/2022
PJ061-2022,ROLÊ MAKER,TECNOLOGIA E PRODUÇÃO,20,ESCOLA,2,06/09/2022
PJ062-2022,CEPETZ - VARGINHA,MEIO AMBIENTE,16,PESSOA FÍSICA,0,06/09/2022
PJ063-2022,CLUBE DO LIVRO,EDUCAÇÃO,4,N.A.,0,06/09/2022
PJ066-2022,FANFICTION CLUB: CÍRCULO DE LEITURAS E ESCRITAS DE NARRATIVAS DE FÃS FANFICTION CLUB: CÍRCULO DE LEITURAS E ESCRITAS DE NARRATIVAS DE FÃS,EDUCAÇÃO,5,N.A.,0,06/09/2022
PJ068-2022,EDUCOMUNICAÇÃO SOCIOAMBIENTAL VIA REDE SOCIAL PARA UNIDADES DE CONSERVAÇÃO E ÁREAS VERDES,MEIO AMBIENTE,9,UNIDADE DE CONSERVAÇÃO,0,06/09/2022
PJ070-2022,TERÇA ASTRONÔMICA 2022,EDUCAÇÃO,11,N.A.,0,06/09/2022
PJ072-2022,CLUBE DE XADREZ DO CEFET-MG - CAMPUS TIMÓTEO,EDUCAÇÃO,2,N.A.,0,06/09/2022
PJ073-2022,"PARTICIPAÇÃO NO PROJETO DE PESQUISA ""PLATAFORMA DE ANÁLISE DA REDUÇÃO DO CONSUMO DE ENERGIA E CONFIGURAÇÃO DO CONTROLE DE PRESSÃO EM SISTEMAS DE IRRIGAÇÃO PIVÔ CENTRAL""",TECNOLOGIA E PRODUÇÃO,2,UNIVERSIDADE,0,06/09/2022
PJ074-2022,GEMLIS,CULTURA,1,N.A.,0,06/09/2022
PJ076-2022,DESCARACTERIZAÇÃO DE TVBOX TX9 PARA USO EDUCACIONAL EM ESCOLAS PÚBLICAS DA MICROREGIÃO DE CATAGUASES,EDUCAÇÃO,2,ÓRGÃO PÚBLICO,0,06/09/2022
